sentiments,cleaned_review,cleaned_review_length,review_score,GPT_Sentiment,GPT_Explanation,GPT_Score,GPT_Category,GPT_Score_Num
positive,these speakers are great bang for the buck got another to connect them together unfortunately my renewed unit was wonky fortunately the return process was super easy while deciding to give renewed another try got new one for father day perfect,41,4,Positive,"The feedback highlights satisfaction with the product's value and the ease of the return process, despite an issue with a renewed unit.",4,Product quality: Functionality Gaps,4
positive,i have nerve damage in my hands so this keyboard is great in the fact that you can see hear and feel the keys also being lit up helps to find the key so much faster ve had it two weeks or so and no complaints ,46,4,Positive,"The user appreciates the keyboard's features that aid in usability, especially given their condition, and reports no complaints.",5,Product quality: Functionality Gaps,5
neutral,worked fine then quit not much for longevity get what you pay for guess ,14,2,Negative,The feedback indicates dissatisfaction with the product's longevity and implies poor value for money.,2,Product quality: Durability,2
positive,got it for my wife she seems to like it it looks nice and feels good in hand ,18,5,Positive,The feedback indicates satisfaction with the product's appearance and feel.,4,Product quality: Build/Design Flaws,4
positive,great product very easy to use and understand sleek design too ,11,5,Positive,The feedback praises the product's ease of use and design.,5,Product quality: Build/Design Flaws,5
negative,i bought these about year ago and when received them they appeared to be fine but when used them the cord is heavy thick and tugging the worst part is that if you ever take off the black wrap around the cord the cord will dwindle and tangle until it decides to do it until it permanently damages itself used them for about hours one day and never touched them even though they were annoying and noticed in video clip saved the microphone cut out randomly but audio still coming through the headset and was confused because never did anything to damage them so they eventually damage themselves by tangling asked my dad to get me another pair of headphones and told him not the same ones but by the time they had already arrived it had been the same and he didn realized that he bought the same pair but figured give them another shot once again they tangled themselves to death one day and realized how cheap this company was and how terrible their products are and how cheaply made they are if there is anything in this review you note down do not but these headphones the worst part is them tangling beyond repair and the annoyance of the excess weight to the cord quite embarrassing for the company to own such terrible product ,227,4,Negative,"The feedback describes multiple issues with the headphones, including poor build quality, tangling cords, and microphone malfunctions, leading to a very negative experience.",1,Product quality: Build/Design Flaws,1
negative,bought this mouse in march and today it stopped working it will not charge and is now useless ,18,1,Negative,The feedback indicates dissatisfaction due to the mouse no longer working and being unable to charge.,1,Product quality: Battery Issues,1
negative,straight out of the package had issues but figured would hold on the mouse does not move smoothly cannot click on things and then the mouse would move only intermittenly then it would stop and would have to jerk it around and now it has just stopped just upgrade spend little more on logi mouse and it is worth it ,60,1,Negative,"The feedback describes significant issues with the mouse's performance, leading to a recommendation to purchase a different brand.",1,Product quality: Performance Issues,1
neutral, works fine the first couple of weeks but now it doesn work connected with different cables and outlets and just show that is charging til the first two lights blinking but it doesn fully charge also try to reset it but reset it doesn worki usually never do review but don see my option the refund or get new one ,60,5,Negative,"The feedback describes a product that initially worked but now fails to charge properly, and attempts to reset it have been unsuccessful, leading to dissatisfaction.",1,Product quality: Battery Issues,1
neutral,it does not move correctly when you move the mouse the cursor doesn move same thing when you click on something you have to click million times before it opens up what your doing or closes what your doing ,39,5,Negative,"The feedback describes issues with the mouse not functioning properly, requiring multiple clicks to operate.",1,Product quality: Functionality Gaps,1
negative,unfortunately missed the return window by less than month do lot of panning around for my work with the middle scroll wheel button and the button has issues about half the time where it doesn register that clicked or gets stuck it cute but wouldn buy it again update just wrote this review couple days ago the scroll wheel just broke fully no more intermittent use use it lot but bought it literally two months ago ,76,1,Negative,"The feedback describes a malfunctioning product with a broken scroll wheel shortly after purchase, leading to dissatisfaction.",1,Product quality: Durability,1
positive,great wireless mouse super quiet clicks ,6,1,Positive,"The feedback praises the wireless mouse for its quiet clicks, indicating satisfaction.",5,Product quality: Functionality Gaps,5
neutral,great overall broke too quickly but that just might be cause the kids use the heck out of it ,19,5,Neutral,"The feedback acknowledges a positive aspect but also mentions a durability issue, which is somewhat mitigated by the context of heavy use by kids.",3,Product quality: Durability,3
neutral,this is the second mouse have gone through in less than three months ordered the second one on jan had bought the initial one on jan today march mine starting sparking at work and the battery burnt through the wires inside this could have easily become horribly dangerous situation that was the second one bought the first one the page scroll roller ball broke this also happened to the second one before the battery sparked and burnt up wires am assuming you are company that values your customers and has strong moral standing how do you suggest you resolve this issue hope to hear from you soon dissatisfied customer,109,2,Negative,"The customer is dissatisfied due to repeated product failures, including a dangerous battery issue and a broken scroll roller ball.",1,Product quality: Battery Issues,1
neutral,this speaker is definitely not the loudest but decent for the price built well durable bass quality and sound quality good not great very serviceable but they have higher quality and loader speakers available for more money ,37,1,Neutral,"The feedback acknowledges the speaker's decent quality and durability for its price, but also notes that there are better options available for more money.",3,Product quality: Performance Issues,3
positive,this headset is purely amazing there is really no more to it it has noise cancellation and overall amazing quality,20,5,Positive,The feedback praises the headset for its amazing quality and noise cancellation.,5,Product quality: Performance Issues,5
neutral,roller ball stopped working within months of minimal use piece of junk ,12,1,Negative,The feedback expresses dissatisfaction with the product's durability and performance.,1,Product quality: Durability,1
negative,bad quality already broke usb stick stopped working,8,1,Negative,The feedback indicates dissatisfaction due to the USB stick breaking and not working.,1,Product quality: Durability,1
positive,what really like is about these headsets is that it have metal plates on them which so they cannot break which is better than plastic plus the bands are not tight so it also doesn break easily the led is simple but unique in way as you can play games and watch youtube at night since you can glow and look pretty cool the sound quality is pretty good to me as hear better than my old ps headset the soft cushion fits on my head so that plus the wires are long which is really helpful when move away ,100,5,Positive,"The feedback highlights multiple positive aspects of the headsets, including durability, design, sound quality, and comfort.",5,Product quality: Durability,5
positive,not sure what to say except that these are the best headphones ve ever owned good quality sound and comfort ,20,1,Positive,"The feedback expresses high satisfaction with the headphones, highlighting their sound quality and comfort.",5,Product quality: Performance Issues,5
neutral,i just got this mouse and doesnt even turn on after charging the usb plug does not work as well this just isnt good buy if was you would go for different one cause its waste of money so just save it and look for different one,47,5,Negative,"The feedback expresses dissatisfaction with the mouse not turning on and the USB plug not working, indicating a poor purchase experience.",1,Product quality: Functionality Gaps,1
neutral,they are quality product that worked as expected ,8,5,Positive,The feedback indicates satisfaction with the product's quality and performance.,5,Product quality: Performance Issues,5
positive,perfect,1,5,Positive,The feedback is a single word expressing complete satisfaction.,5,Other,5
neutral,after just three months this mouse no longer charges so it useless spend few extra dollars and get better mouse ,20,1,Negative,"The feedback indicates dissatisfaction due to the mouse no longer charging after a short period, rendering it useless.",1,Product quality: Battery Issues,1
positive,it serves the purpose of playing loud clear sounding music,10,5,Positive,"The feedback highlights that the product effectively plays loud and clear music, indicating satisfaction.",4,Product quality: Functionality Gaps,4
positive,good product my son loves it,6,5,Positive,"The feedback expresses satisfaction with the product, indicating that it is well-received.",5,Other,5
neutral,not enough bass,3,3,Negative,The feedback indicates dissatisfaction with the bass quality of a product.,2,Product quality: Functionality Gaps,2
positive,i bought it for work it so smooth color is matte black led lights are so cool and fun doesn make any clicking sound is rechargeable very happy with this purchase ,31,5,Positive,"The feedback expresses satisfaction with the product's smoothness, color, LED lights, and lack of noise, indicating a positive experience.",5,Product quality: Performance Issues,5
neutral,they work goodalso for teaching online,6,5,Positive,The feedback indicates satisfaction with the product's performance for teaching online.,4,Product quality: Performance Issues,4
positive,it works well lights up very pretty rechargeable very quiet,10,5,Positive,"The feedback highlights positive aspects such as functionality, aesthetics, and quiet operation.",5,Product quality: Performance Issues,5
neutral,did not work well for me only worked when it felt like it very inconsistent ,15,5,Negative,The feedback indicates dissatisfaction due to the product's inconsistent performance.,2,Product quality: Performance Issues,2
positive,works great ,2,5,Positive,The feedback indicates satisfaction with the product's performance.,5,Product quality: Performance Issues,5
positive,i like this item lot very fairly priced and the low profile makes it easy on my hand don have the largest hands but not very small either and mouse with high hump is very uncomfortable this solves that problem nicely could do without the sleep mode am still getting used to waking it up and understand the value of sleep mode so deal with it never having to deal with batteries is also bonus charging it overnight is ideal but have already forgotten couple of nights and it fine if necessary you can plug it in and use it while it charges ,103,2,Positive,"The feedback is generally positive, highlighting satisfaction with the pricing, design, and charging features, despite a minor inconvenience with the sleep mode.",4,Product quality: Build/Design Flaws,4
neutral,poor package ,2,5,Negative,The feedback indicates dissatisfaction with the packaging.,2,Packaging,2
positive,we used these headphones for virtual school with busy household they worked great ,13,5,Positive,The feedback indicates satisfaction with the headphones' performance in a busy household setting.,5,Product quality: Performance Issues,5
neutral,it basic sleep mode is irritating ,6,5,Negative,The feedback expresses dissatisfaction with the sleep mode feature.,2,Product quality: Functionality Gaps,2
neutral,it doesn have solid lighting doesn match my red themed pc mouse mousepad setup ,14,5,Negative,The feedback indicates dissatisfaction with the lighting not matching the user's setup.,2,Product quality: Functionality Gaps,2
positive,i like this mouse works very good the dpi button do it work is very silent and you can turn off the color light very recommended ,26,1,Positive,"The feedback expresses satisfaction with the mouse's performance, features, and recommends it to others.",5,Product quality: Functionality Gaps,5
neutral,good,1,2,Positive,The feedback uses a positive word to describe the experience.,4,Other,4
positive,very comfortable and the noise cancellation is amazing,8,4,Positive,"The feedback praises the comfort and noise cancellation features, indicating satisfaction.",5,Product quality: Performance Issues,5
positive, goes perfect with my set up ,6,5,Positive,The feedback indicates satisfaction with how the product fits into the user's setup.,5,Other,5
positive,i love this speaker my dad has one and uses it outside while barbecuing and love the sound quality had to get my own and so far it has not disappointed ,31,5,Positive,The feedback expresses satisfaction with the speaker's sound quality and overall performance.,5,Product quality: Performance Issues,5
positive,great compact speaker not as loud as expected jbl speaker to be does not hold hours of battery life as advertised my particular speaker is holding about hours of charge prior to dying any suggestions from amazon customer service ,39,5,Negative,"The feedback highlights disappointment with the speaker's volume and battery life, which do not meet expectations.",2,Product quality: Battery Issues,2
neutral,its great mouse but it stops tracking if stop using it like the ponter starts lagging ,16,2,Negative,"The feedback mentions a performance issue with the mouse, specifically that it stops tracking and the pointer lags.",2,Product quality: Performance Issues,2
positive,i updating this review received keyboard that stopped charging month after bought it contacted the company and their customer service was amazing and they sent me new one quickly so far my new one works great which so happy about because really enjoy this keyboard ,45,2,Positive,"The customer had an issue with the keyboard but was very satisfied with the quick and effective response from customer service, resulting in a positive experience.",4,Product quality: Battery Issues,4
neutral,it great looking keyboard but when you are typing random keys just start repppppppppppppppeating ve tried making corrections in my computer setting window but nothing works tossed the original box it came with so stuck with it now but beware this product ,42,1,Negative,"The feedback describes a malfunction with the keyboard where keys repeat unexpectedly, and attempts to fix it have failed.",2,Product quality: Functionality Gaps,2
positive,i love it could be tad louder tho,8,5,Positive,"The feedback is generally positive, with a minor suggestion for improvement in volume.",4,Product quality: Functionality Gaps,4
neutral,for the price you absolutely can beat these the brand name was very odd twist on more notable brand but very solid product ,23,1,Positive,The feedback praises the product for its value for money and solid quality despite an unusual brand name.,5,Pricing,5
neutral,this mouse worked for day and then stopped it was very comfortable to use and silent click which was nice but it stopped working so it pointless ,27,1,Negative,"The feedback highlights a major issue with the product's functionality, as it stopped working after a day, despite some positive aspects.",2,Product quality: Functionality Gaps,2
positive,fits comfortably and it is very pretty ,7,4,Positive,The feedback expresses satisfaction with the comfort and appearance of the product.,5,Product quality: Build/Design Flaws,5
neutral,junk ordered of these at no time did have more than that worked returned twice hoping for replacements that actually worked in the end returned both suffered the restocking fee and bought bose ,33,5,Negative,"The customer experienced issues with the product not working and had to return it twice, ultimately incurring a restocking fee and choosing a different brand.",1,Product quality: Functionality Gaps,1
neutral,no depth annoying to listen to ,6,1,Negative,"The feedback indicates dissatisfaction with the audio quality, describing it as lacking depth and annoying.",2,Product quality: Performance Issues,2
positive,he has had these headphones for year now and they still work great,13,5,Positive,The feedback expresses satisfaction with the longevity and performance of the headphones.,5,Product quality: Durability,5
positive,so got this in the mail and immediately started using it it worked great in the beginning super quiet and the color change is cool but after week or two was using it and it just stopped working it would turn on but wouldn work on my laptop and it was the only computer have used it on can barely get it to move on the screen and then it just shuts off but it really was great when first got it ,82,1,Negative,"The feedback describes an initial positive experience with the product, but it quickly developed performance issues, rendering it unusable.",2,Product quality: Performance Issues,2
positive,it stopped turning on after months the battery is fine and the buttons clearly work it just has odd power light combinations and suddenly won turn on ,27,5,Negative,The feedback indicates a problem with the product not turning on despite the battery and buttons being functional.,2,Product quality: Performance Issues,2
positive,great value works amazing definitely worth the money,8,1,Positive,The feedback expresses satisfaction with the product's value and performance.,5,Product quality: Performance Issues,5
positive,great sound,2,5,Positive,The feedback expresses satisfaction with the sound quality.,5,Product quality: Performance Issues,5
positive,this is great and affordable keyboard great response time feels great to type on useful in the dark and long lasting battery ,22,1,Positive,"The feedback highlights multiple positive aspects of the keyboard, including affordability, response time, typing experience, usefulness in the dark, and battery life.",5,Product quality: Battery Issues,5
positive,i got this wireless mouse for my daughter because she was getting tired of using the old wired mouse for playing games on the pc so far her experience with it has been great the size was perfect for her average teen hand and she lefty the main avantage was the mouse was rechargable so we don have to worry about replacing the battery every so offten plus for me ,70,5,Positive,"The feedback highlights satisfaction with the wireless mouse, particularly its size, suitability for a left-handed user, and rechargeable feature.",5,Product quality: Functionality Gaps,5
neutral,liked illumation,2,5,Positive,The feedback expresses a liking for the illumination feature.,4,Product quality: Functionality Gaps,4
neutral,it functions according to my expectation ,6,2,Positive,"The feedback indicates that the product meets the user's expectations, which is a positive outcome.",4,Product quality: Functionality Gaps,4
negative,only negative it does not have mic,7,5,Negative,"The feedback expresses dissatisfaction due to the absence of a microphone, indicating a functionality gap.",2,Product quality: Functionality Gaps,2
neutral,i bought this keyboard with limited expectations was completely surprised at how good it really is can beat it for the price ,22,1,Positive,"The customer expresses surprise and satisfaction with the quality of the keyboard, especially considering its price.",5,Pricing,5
positive, so cute and very easy to use really recommend it battery last long ,13,5,Positive,"The feedback expresses satisfaction with the product's ease of use and battery life, and includes a recommendation.",5,Product quality: Battery Issues,5
neutral,used like times before it died don understand the reviews horrible product save your money,15,1,Negative,The feedback expresses dissatisfaction with the product's performance and advises others not to purchase it.,1,Product quality: Durability,1
positive,was able to connect the dual cables to the back of my pc with ease great for playing online and chatting with others ,23,2,Positive,The feedback highlights ease of use and satisfaction with the product's functionality for online activities.,5,Product quality: Functionality Gaps,5
negative,very very bad stay away ,5,5,Negative,The feedback expresses strong dissatisfaction.,1,Other,1
positive, light weight but feels solid you feel the keys but no loud clicks easy to adjust the brightness and lighting modes wish there was way to adjust the sleep timer but other than that love it haven had it long enough to comment on the battery live but their usb is little short not major issue for me have spares up to feet long update on the battery life it great obviously it depends on use but it lasts as long if not longer than other rechargeable keyboards have used the usb recharges it fast when you need it to also have klim blaze wireless mouse and fusion earbuds love can use the same cable to charge the mouse and keyboard the earbuds have much longer cable than most ideal for moving around while you are plugged in to the computer ,141,5,Positive,"The feedback highlights several positive aspects of the product, such as its solid build, adjustable features, and good battery life, with only minor issues mentioned.",4,Product quality: Functionality Gaps,4
neutral,i like,2,1,Positive,"The feedback expresses a liking, indicating satisfaction.",4,Other,4
neutral,this pos is advertised as made in usa it is actually made in china ,14,3,Negative,The feedback expresses disappointment about the product's origin not matching the advertisement.,2,Product quality: Functionality Gaps,2
negative,its pretty but the charge doesn last long plug it in to my laptop to charge but the laptop shuts down after few minutes and the mouse quits charging there is short charging cord but no adaptor to plug it into the wall and it says not to use cell phone charging adaptors so recharging was pain ,57,2,Negative,"The feedback highlights issues with the charging process and battery life, causing inconvenience.",2,Product quality: Battery Issues,2
negative,bought one at first broke within couple of months thinking maybe it was my daughter bought another and broke again within couple of months the middle wheel on the mouse is defective and it the same problem from the first one bought,42,5,Negative,"The feedback indicates repeated issues with the product's durability and functionality, specifically with the middle wheel of the mouse breaking within a few months.",1,Product quality: Durability,1
positive,sil loves it so that good ,6,5,Positive,"The feedback indicates that the sister-in-law loves the product, which is a positive sentiment.",5,Other,5
positive,i have this mouse for months now it works great and the battery lasts for very long time have only charged it times since got it and use it everyday for work fits nicely in the palm of the hand and weighs like nothing enjoy the color changing mode option very good product ,53,5,Positive,"The feedback highlights satisfaction with the mouse's battery life, comfort, and additional features like color changing mode.",5,Product quality: Battery Issues,5
positive,jbl is beautifully designed sounds just perfect the only problem is if you give it to your daughter for her eighteenth birthday days later she may irresponsibley drive around town with it in her car and leave it at her friend house for weeks then one of her friends will likely steal it because it is such fantastic little speaker just take that into consideration before purchasing ,67,4,Positive,"The feedback praises the design and sound quality of the JBL speaker, despite a personal anecdote about potential theft due to its desirability.",4,Product quality: Build/Design Flaws,4
neutral,the aux cable broke off inside the controller had to pick it out piece by piece normal use this should have remained intact with basic gaming ,26,4,Negative,"The feedback describes a product quality issue where the aux cable broke during normal use, indicating dissatisfaction.",2,Product quality: Durability,2
neutral,this mouse works but has high pitch noise the entire time in use drives me crazy ,16,5,Negative,"The feedback indicates dissatisfaction due to a high-pitched noise from the mouse, which is bothersome.",2,Product quality: Performance Issues,2
negative,my daughter got this mouse for christmas after only weeks the usb receiver broke and today the scroll wheel prior to this she said it was working well and she really liked the feel too bad the quality is crap ,40,1,Negative,"The feedback describes multiple issues with the product's quality, specifically mentioning the USB receiver breaking and the scroll wheel malfunctioning.",2,Product quality: Durability,2
neutral,could use an instruction sheet also what is the expected battery life on single charge ,15,5,Neutral,"The feedback suggests a lack of information regarding instructions and battery life, but does not express dissatisfaction.",3,Product quality: Battery Issues,3
positive,sound is awesome plus water proof is bonus ,8,5,Positive,The feedback highlights satisfaction with the sound quality and appreciates the waterproof feature as an added benefit.,5,Product quality: Functionality Gaps,5
positive,sound qualty is excellent pairing very easy ,7,5,Positive,"The feedback praises the sound quality and ease of pairing, indicating satisfaction.",5,Product quality: Performance Issues,5
positive,i was really excited about this mouse it arrived and worked perfectly for about week and now it refuses to respond have tried charging it it currently plugged into my computer as the instructions specify but it dead to the world have tried all of troubleshooting suggestions but you can troubleshoot something that won turn on for love or money so for one week was happy now just irritated and disappointed don bother spending the money no matter how awesome it seems you ll just be let down ,88,1,Negative,The customer is frustrated because the mouse stopped working after a week and troubleshooting efforts have failed.,1,Product quality: Performance Issues,1
positive,this mouse is so slick and smooth it is very quiet with the clicking love it ,16,2,Positive,The feedback expresses satisfaction with the mouse's design and functionality.,5,Product quality: Build/Design Flaws,5
neutral,i use this for my xbox partychat never had issue in the past and ve gotten the same one from the same person but the one got recently seems to be little staticky so it constantly in your ears and in somebody else ears other than that they re okay just static gaming,53,5,Negative,"The feedback mentions a static issue with the product, which affects its performance during use.",2,Product quality: Performance Issues,2
neutral,i just brought this mouse for my laptop game cheaper and function enough for me good buy ,17,1,Positive,"The feedback expresses satisfaction with the price and functionality of the mouse, indicating a good purchase decision.",5,Product quality: Functionality Gaps,5
positive, absolutely love it and it is rechargeable changes colors the battery lasts forever stars,14,1,Positive,"The feedback expresses love for the product, highlighting its rechargeable feature, color-changing ability, and long-lasting battery.",5,Product quality: Battery Issues,5
neutral,good headphones for the price,5,5,Positive,The feedback indicates satisfaction with the value of the headphones relative to their price.,4,Pricing,4
neutral,not only does this feel like the cheapest mouse have ever had the displeasure of holding the usb type adapter is loose fitting piece of junk not even worth the hassle of returning this piece of garbage only flashes red for second then quits doing anything else even after being charged for hours have attached it to different devices and nothing guess you get what you pay for and this instance junk,72,1,Negative,"The feedback expresses strong dissatisfaction with the product's quality and functionality, describing it as cheap and non-functional.",1,Product quality: Functionality Gaps,1
positive,my son uses it to play his game on ps he loves it,13,5,Positive,The feedback indicates satisfaction with the product as it is enjoyed by the user's son.,5,Other,5
neutral,a few days after the return window expired the scrolling wheel stopped working ,13,1,Negative,The feedback indicates dissatisfaction due to a product malfunction occurring shortly after the return window closed.,2,Product quality: Functionality Gaps,2
neutral,enter key was difficult to reach going off size bit of stretch ,12,4,Negative,"The feedback indicates a design flaw where the enter key is difficult to reach, causing inconvenience.",2,Product quality: Build/Design Flaws,2
positive,works really great,3,5,Positive,The feedback expresses satisfaction with the product's performance.,5,Product quality: Performance Issues,5
positive,good battery life and good quality sound,7,1,Positive,The feedback highlights satisfaction with the battery life and sound quality.,5,Product quality: Battery Issues,5
neutral,this mouse is ergonomic light weight and very easy to use unfortunately the color shown in the picture for rose gold was not very accurate it is much darker would still buy it again though ,35,5,Neutral,"The feedback mentions both positive aspects (ergonomic, lightweight, easy to use) and a negative aspect (color discrepancy), but the customer would still purchase it again.",3,Product quality: Build/Design Flaws,3
neutral,needs charging more than the average wireless mouse ,8,1,Negative,The feedback indicates dissatisfaction with the battery life of the wireless mouse.,2,Product quality: Battery Issues,2
neutral,thumbs up,2,4,Positive,"The phrase ""thumbs up"" indicates approval or satisfaction.",5,Other,5
positive,i loved the look and feel of this mouse however it stopped working after only week of using it won charge at all and coworker said she had the same issue with the same mouse don waste your money ,39,5,Negative,The feedback expresses dissatisfaction due to the mouse's failure to charge and similar issues experienced by others.,1,Product quality: Battery Issues,1
neutral,end up returning it within weeks of purchase this is light not in good way weight feels like its cheaply made my clicks and moves were not in sync when clicked the mouse to my new surface laptop ,38,1,Negative,"The feedback indicates dissatisfaction with the product's build quality and performance, leading to a return.",1,Product quality: Build/Design Flaws,1
neutral,bought these for my husband he lovesss them he gaming experience is completely different now ,15,4,Positive,"The feedback expresses satisfaction and excitement about the product, indicating a positive impact on the gaming experience.",5,Product quality: Performance Issues,5
neutral,i accidentally dropped this thing in the ocean where it floated for two days before found it ashore it still works minus the audio which faces one way this is quality speaker ,32,5,Positive,The feedback highlights the speaker's impressive durability and functionality despite being submerged in the ocean for two days.,4,Product quality: Durability,4
negative,started off great but the charge stopped working couldn tell if it needing charging one day it didn turn on left it to charge while it was off and on hours each way and it still wouldn hold charge or turn on battery ended up exploding and started leaking acid overall horrible product,53,2,Negative,"The feedback describes severe battery issues, including failure to hold a charge and a dangerous battery explosion.",1,Product quality: Battery Issues,1
positive,i loved this mouse when first got it it moves nicely and the colors around the base is awesome could tell it was cheaply made but didn think more of it just went to use it now and the scroller in the middle is busted it rotates but it doesn do anything on my computer ,55,2,Negative,The user initially liked the mouse for its movement and design but is disappointed because the scroll wheel is not functioning.,2,Product quality: Functionality Gaps,2
